,price
2398,8899980.0
3751,7199957.7
1710,6799975.2
6281,2779985.5
4919,14184000.0
1186,5555488.0
7834,3167500.0000000005
7693,5579984.0
5763,5999994.0
6438,4779993.53
7833,2800000.0
151,2899989.0
915,4749984.0
1305,5498978.0
2986,7629992.1
5752,6499976.0
6898,7599978.0
5288,5149986.399999999
1398,5749951.8
2519,7189980.0
183,2644980.0
3455,3249992.0
5314,5149976.8
3033,9049985.0
2417,8399967.1
471,4449976.6
967,3599955.0
5344,4799978.0
7646,6499990.0
209,2649997.9
1961,6800000.0
896,5289989.399999999
6075,6499993.499999999
2586,5349986.5
4902,7849975.0
1773,7249980.0
6558,4989985.399999999
2299,4149983.4
1209,6699974.399999999
6489,4999978.800000001
4574,9853890.799999999
6252,3399993.9699999997
1251,2949975.0
4307,8599943.799999999
3203,9072481.6
3199,9119988.0
6396,5099976.0
4313,8450000.0
292,3299966.2
2992,7700000.0
1051,5158993.399999999
4695,11199968.0
7375,8649950.4
272,3199983.8000000003
2042,3199996.8000000003
6432,5049990.0
3950,6149971.800000001
4617,10499955.0
7736,5154982.08
1086,5039990.0
6422,5083980.0
3194,9199989.5
5328,5199980.8
5741,6199977.78
5643,5199975.5
3554,8499000.0
7394,8199984.0
5398,5499975.0
3352,4099992.0
7924,4899982.58
2802,8249974.2
4043,8649985.5
613,3399993.8000000003
7862,2750000.0
3794,7099970.800000001
3799,6899963.399999999
4477,8099989.199999999
4691,11099990.0
1748,2199998.8
7227,9349970.0
7091,5700000.0
7621,8949971.299999999
5749,6099990.0
5007,11499990.0
5602,5799986.399999999
5909,6349978.5
2154,2599993.0
1344,5548982.300000001
7819,3749990.64
7812,4654976.76
7486,8489976.0
952,3999986.4
3039,9099993.6
1504,5799978.6
3320,8499971.2
7963,5499994.2
6868,5400000.0
1121,5699986.6
5488,6199987.199999999
4825,8499959.6
3836,6648995.5
3123,9499986.0
5213,6455981.699999999
3887,5548980.0
416,4998993.600000001
4747,9998958.0
2431,8500000.1
7480,8999976.6
564,1669993.0
2526,6998992.0
1224,6349992.0
142,3329983.8
1490,5989980.600000001
3032,8499988.1
6621,5149985.37
2004,2899991.5
1194,5999964.0
2877,8739973.6
2776,8299979.6
1756,7299976.32
497,3489984.0
3295,8900000.0
7828,3432000.0
912,4799964.0
721,2399999.6999999997
5835,6899984.6
4347,10999956.0
1496,5849984.0
3034,6949985.9
1520,5249978.25
5120,7949967.2
3437,7689977.1
5162,6848639.999999999
3395,5499998.0
6559,4989991.300000001
108,2399980.1999999997
1754,7499992.5
6819,5799992.0
1351,5699979.0
7858,2399996.4
4446,8499984.0
3515,9499993.99
1973,2649979.4
336,1449972.0
5037,10199990.2
5644,5699987.2
7370,7499973.300000001
3027,7849982.2
2943,8389984.8
3961,5889998.399999999
724,2400000.0
765,3049971.1999999997
6203,4398978.399999999
3885,5099945.899999999
4509,9600000.0
307,3799980.0
1278,6349964.399999999
3946,6198974.600000001
4861,10198947.5
6241,3998988.0
5242,6989984.0
7264,5758552.8
1791,2599964.8000000003
4168,8248967.999999999
5457,5999977.3
5647,5550000.0
2053,2982000.0
4989,12199992.0
3094,8700000.0
71,1937999.9999999998
3238,9299974.8
4071,7699958.199999999
4113,7349958.0
3299,8714999.2
4801,11489976.0
1260,5498990.0
1666,5989973.699999999
5898,6699960.0
4050,7998980.0
5699,5499982.8
8006,5569992.0
2167,3099999.0
7626,8800000.0
2533,6799995.0
1695,1999984.0
1095,5989995.2
6033,6589985.999999999
5868,6349991.0
5862,6659997.5
1630,6448997.25
4912,12400000.0
1881,7900000.0
6055,6999988.0
5375,4700000.0
1612,6499962.0
978,5099974.0
4609,10587950.799999999
7603,10539953.6
6480,4999992.0
848,4399985.0
3784,7199950.600000001
5594,5949997.7
2271,3399990.0
2392,8999982.0
4192,8248964.0
1830,3029984.0
4304,8499941.0
47,2349988.1999999997
4209,8199996.0
1350,5544961.9
7459,9989901.0
4012,7649941.5
446,5149980.0
2248,4099991.5
1743,7649964.899999999
844,4199999.0
3908,4799984.600000001
2868,7849980.0
5310,4788000.0
2440,7864786.3
678,1999998.0
3412,5750000.0
4512,9289956.1
1294,5899962.699999999
6249,3374992.0
3857,6199949.600000001
4829,8149949.2
7485,9250000.0
8002,4299981.0
4796,11499950.0
1112,5999994.899999999
776,3498984.0
